Name,Location,Review_Score,Review_Feedback,Review_Count,Type,Category
Microtel by Wyndham South Forbes,Sta Rosa,8.2,Very Good,70,Hotel,Hotel
Recipes,Sta Rosa,4.0,Return visit,97,Restaurant,Restaurant
