Name,Location,Review_Score,Review_Feedback,Review_Count,Type,Category
Summit Hotel Naga,Naga,8.3,Very Good,190,Hotel,Hotel
Go Hotels Plus Naga,Naga,8.3,Very Good,208,Hotel,Hotel
Robertson Hotel,Naga,8.4,Very Good,241,Hotel,Hotel
