Name,Location,Review_Score,Review_Feedback,Review_Count,Type,Category
Hop Inn Hotel Aseana City Manila,Paranaque,8.2,Very Good,1757,Hotel,Hotel
The Lounge,Paranaque,4.5,"We had a salad, pizza, bolognese pasta and a couple drinks.",90,Restaurant,Restaurant
