Name,Location,Review_Score,Review_Feedback,Review_Count,Type,Category
Kayangan Lake,"Coron, Palawan",4.5,No Feedback,2449,Tourist Site,Bodies of Water
Twin Lagoon,"Coron, Palawan",4.5,No Feedback,1061,Tourist Site,Bodies of Water
Barracuda Lake,"Coron, Palawan",4.5,No Feedback,996,Tourist Site,Bodies of Water
