Name,Location,Review_Score,Review_Feedback,Review_Count,Type,Category
Marcian Garden Hotel,Zamboanga,7.8,Good,118,Hotel,Hotel
Isteraha Haven Inn,Zamboanga,8.1,Very Good,114,Hotel,Hotel
