Name,Location,Review_Score,Review_Feedback,Review_Count,Type,Category
Puerto Princesa Underground River,"Puerto Princesa, Palawan",4.5,No Feedback,5750,Tourist Site,Bodies of Water & National Parks
Honda Bay,"Puerto Princesa, Palawan",4.0,No Feedback,2024,Tourist Site,Bodies of Water
