Name,Location,Review_Score,Review_Feedback,Review_Count,Type,Category
The Mini Suites Eton Tower Makati,Makati,7.0,Good,3049,Hotel,Hotel
Dusit Thani Manila,Makati,8.1,Very Good,1970,Hotel,Hotel
The Mini Suites Eton Tower Makati,Makati,7.0,Good,3047,Hotel,Hotel
The Aristocrat Restaurant,Makati,4.0,"Good food, waiting time",1261,Restaurant,Restaurant
Simply Thai,Makati,4.0,Great Thai food in the Philippines!!!,203,Restaurant,Restaurant
Ippudo,Makati,4.0,"But for me, I fell for their torched salmon!",72,Restaurant,Restaurant
