Name,Location,Review_Score,Review_Feedback,Review_Count,Type,Category
Injap Tower Hotel,Iloilo City,7.9,Good,1106,Hotel,Hotel
Park Inn By Radisson Iloilo,Iloilo City,8.5,Very Good,1133,Hotel,Hotel
