Name,Location,Review_Score,Review_Feedback,Review_Count,Type,Category
White Beach,Boracay,4.5,No Feedback,6589,Tourist Site,Beaches
Yapak Beach (Puka Shell Beach),Boracay,4.5,No Feedback,2818,Tourist Site,Beaches
Ariel's Point,Boracay,4.5,No Feedback,1412,Tourist Site,Points of Interest & Landmarks
