Name,Location,Review_Score,Review_Feedback,Review_Count,Type,Category
Granada Beach Resort - Adults Only,Cebu,9.0,Wonderful,217,Hotel,Hotel
Basilica del Santo Nino,Cebu,4.5,No Feedback,2168,Tourist Site,Speciality Museums & Religious Sites
Kawasan Falls,Cebu,4.0,No Feedback,1936,Tourist Site,Waterfalls
Ayala Center Cebu,Cebu,4.5,No Feedback,1824,Tourist Site,Shopping Malls
Casa Gorordo Museum,Cebu,4.5,No Feedback,548,Tourist Site,Speciality Museums
Tumalog Falls,Cebu,4.5,No Feedback,1110,Tourist Site,Waterfalls
Fort San Pedro,Cebu,4.0,No Feedback,1326,Tourist Site,Historic Sites
